id,claim_id,rebuttal_id,sort_order
0,1,1,1
1,1,2,2
2,1,4,2
3,1,5,2
4,1,6,2
5,1,7,3
6,1,8,3
7,1,9,4
8,1,10,4
9,1,11,4
10,1,12,4
11,1,13,4
12,1,14,4
13,1,15,4
14,1,224,2
15,1,238,1
16,1,239,2
17,1,376,1
18,1,413,1
19,2,29,3
20,2,32,2
21,2,145,1
22,2,146,2
23,2,147,3
24,2,245,3
25,3,102,3
26,3,103,4
27,3,109,2
28,3,144,1
29,3,320,1
30,5,5,3
31,5,136,1
32,5,137,2
33,5,138,1
34,5,139,3
35,5,140,3
36,5,141,3
37,5,206,1
38,5,300,1
39,5,322,2
40,5,359,1
41,5,360,1
42,5,362,2
43,6,130,2
44,6,131,3
45,6,132,1
46,6,133,2
47,6,134,3
48,6,135,1
49,8,128,2
50,8,129,2
51,8,291,2
52,8,329,1
53,9,28,1
54,9,30,2
55,9,31,3
56,9,116,1
57,9,117,2
58,9,118,3
59,9,119,4
60,9,120,4
61,9,121,5
62,9,122,6
63,9,123,7
64,9,124,8
65,9,125,9
66,9,126,10
67,9,181,1
68,9,186,3
69,9,191,2
70,9,194,2
71,9,204,1
72,9,219,3
73,9,244,3
74,9,246,3
75,9,247,3
76,9,248,2
77,9,249,3
78,9,306,2
79,9,343,1
80,9,347,1
81,9,349,3
82,9,355,2
83,9,356,2
84,9,407,1
85,9,486,1
86,9,493,1
87,10,113,1
88,10,114,1
89,10,115,2
90,10,318,1
91,11,22,2
92,11,23,1
93,11,24,1
94,11,25,3
95,11,201,1
96,12,63,1
97,13,105,1
98,13,106,2
99,13,107,2
100,13,108,2
101,13,109,1
102,13,110,3
103,13,111,2
104,13,160,3
105,13,252,3
106,13,253,3
107,13,254,3
108,13,255,3
109,13,256,3
110,13,257,3
111,13,258,3
112,13,259,3
113,13,260,3
114,13,269,2
115,13,304,1
116,13,320,1
117,13,429,2
118,14,104,2
119,14,192,1
120,15,102,1
121,15,103,2
122,16,101,1
123,16,268,1
124,16,293,1
125,17,1,2
126,17,21,1
127,18,77,1
128,18,95,2
129,18,96,1
130,18,97,2
131,18,98,1
132,18,99,2
133,18,100,2
134,18,364,1
135,18,371,3
136,18,485,1
137,19,96,3
138,19,98,1
139,19,99,2
140,19,100,1
141,20,89,1
142,20,225,1
143,20,363,1
144,20,371,2
145,20,485,1
146,21,88,2
147,21,89,2
148,21,90,2
149,21,91,1
150,21,92,4
151,21,93,2
152,21,190,1
153,21,207,1
154,21,368,1
155,21,456,1
156,44,152,1
157,22,87,1
158,22,165,2
159,23,81,2
160,23,82,3
161,23,85,1
162,23,86,2
163,23,159,2
164,23,160,3
165,23,240,1
166,24,82,1
167,24,83,2
168,24,84,3
169,24,159,2
170,24,165,2
171,24,240,1
172,24,263,1
173,25,79,2
174,25,81,1
175,25,159,2
176,25,165,2
177,25,263,2
178,26,79,2
179,26,80,1
180,26,159,2
181,26,160,1
182,27,78,1
183,28,75,1
184,28,76,2
185,28,77,3
186,29,68,1
187,29,69,1
188,29,70,2
189,29,71,2
190,29,72,2
191,29,73,3
192,29,74,3
193,29,185,2
194,29,266,1
195,29,267,2
196,29,293,1
197,30,63,2
198,30,64,3
199,30,65,3
200,30,66,1
201,30,67,3
202,31,26,2
203,31,59,2
204,31,60,3
205,31,61,1
206,31,62,4
207,31,158,1
208,31,377,1
209,32,58,1
210,32,151,2
211,32,168,3
212,33,56,2
213,33,57,1
214,33,168,3
215,33,371,1
216,34,54,1
217,34,55,2
218,34,449,3
219,34,492,2
220,35,51,1
221,35,52,2
222,35,53,3
223,35,261,2
224,35,487,1
225,35,492,1
226,36,50,1
227,36,55,1
228,36,492,1
229,37,48,1
230,37,49,2
231,37,319,1
232,37,491,1
233,40,37,1
234,40,38,2
235,40,39,3
236,40,40,4
237,40,153,2
238,40,198,1
239,40,251,1
240,40,310,3
241,40,538,1
242,41,32,2
243,41,33,1
244,41,34,3
245,41,35,2
246,41,36,2
247,41,264,1
248,41,349,3
249,42,27,1
250,42,28,2
251,42,29,2
252,42,30,3
253,42,31,4
254,42,119,2
255,42,149,2
256,42,166,2
257,42,167,2
258,42,169,2
259,42,170,2
260,42,186,3
261,42,194,1
262,42,204,2
263,42,205,2
264,42,216,1
265,42,223,2
266,42,243,1
267,42,244,1
268,42,245,2
269,42,250,1
270,42,262,2
271,42,264,2
272,42,273,1
273,42,274,1
274,42,275,1
275,42,276,1
276,42,277,1
277,42,278,1
278,42,279,2
279,42,280,1
280,42,291,1
281,42,303,1
282,42,305,1
283,42,327,1
284,42,344,1
285,42,355,2
286,42,356,2
287,42,358,3
288,42,370,2
289,42,394,1
290,42,395,1
291,42,396,1
292,42,397,1
293,42,398,1
294,42,399,1
295,42,403,1
296,42,405,1
297,42,407,3
298,42,416,1
299,42,417,2
300,42,418,2
301,42,419,2
302,42,428,1
303,42,436,1
304,42,454,1
305,42,465,1
306,42,466,2
307,42,468,2
308,43,26,1
309,43,61,1
310,43,158,2
311,43,171,1
312,43,539,4
313,43,377,1
314,45,154,2
315,45,155,1
316,45,347,1
317,46,156,1
318,46,157,1
319,47,5,1
320,47,63,1
321,47,273,1
322,47,274,1
323,47,275,1
324,47,276,1
325,47,349,3
326,48,17,2
327,48,18,1
328,48,19,2
329,48,20,2
330,48,184,1
331,48,195,1
332,48,196,1
333,48,197,2
334,48,199,2
335,48,208,1
336,48,241,1
337,48,301,1
338,48,302,1
339,48,311,2
340,48,322,2
341,48,323,2
342,48,324,2
343,48,350,1
344,48,354,1
345,48,358,3
346,48,361,3
347,48,367,2
348,48,378,2
349,48,379,1
350,48,380,2
351,48,381,2
352,48,389,1
353,48,390,1
354,48,393,1
355,48,405,1
356,48,406,1
357,48,408,2
358,48,409,1
359,48,411,2
